origin,text,type,category
manual,share,none,none
manual,senator,class,class
manual,items,enumeration,attribute
manual,ivory,none,none
manual,trainer,class,class
manual,territory,class,class
manual,time,time,attribute
manual,schoolhouse,class,class
manual,nursery,class,class
manual,state,enumeration,attribute
manual,area,string,attribute
manual,carpenter,class,class
manual,motor,class,class
manual,atheist,class,class
manual,fund,float,attribute
manual,letter,string,attribute
manual,temporary address,string,attribute
manual,choice,none,none
manual,address,string,attribute
manual,adviser,class,class
manual,hostel,class,class
manual,note,class,class
manual,station,class,class
manual,birthday,date,attribute
manual,list,enumeration,attribute
manual,folklore,none,none
manual,flight,class,abstract-class
manual,destroyer,class,class
manual,flight,class,abstract-class
manual,leaf,none,none
manual,cricketer,class,class
manual,league,class,class
manual,receipt,class,class
manual,altitude,float,attribute
manual,photo,class,class
manual,flight,class,abstract-class
manual,tea,none,none
manual,work,class,class
manual,balance,integer,attribute
manual,plate,integer,attribute
manual,color,string,attribute
manual,client,class,class
manual,secretariat,class,class
manual,gymnast,class,class
manual,auction,class,class
manual,ballot,class,class
manual,accounts,class,class
manual,witness,class,class
manual,credit card account,class,class
manual,synod,none,none
manual,bag,class,class
manual,area,class,class
manual,books,class,abstract-class
manual,canal,none,none
manual,musician,class,class
manual,semester,class,class
manual,capacity,float,attribute
manual,flight,class,abstract-class
manual,chef,class,class
manual,code,string,attribute
manual,courses,class,class
manual,flight,class,abstract-class
manual,province,enumeration,attribute
manual,tension,none,none
manual,object,class,abstract-class
manual,price,float,attribute
manual,value,string,attribute
manual,earlier date,date,attribute
manual,diameter,float,attribute
manual,bicycle,class,class
manual,application,class,class
manual,council,class,class
manual,school,class,class
manual,professional,class,class
manual,diagram,class,class
manual,flight,class,abstract-class
manual,depth,float,attribute
manual,day,integer,attribute
manual,month,integer,attribute
manual,year,integer,attribute
manual,letter,enumeration,attribute
manual,level,enumeration,attribute
manual,code,string,attribute
manual,block,string,attribute
manual,unit,string,attribute
manual,ride,class,class
manual,dial,none,none
manual,resignation date,date,attribute
manual,retailer,class,class
manual,athlete,class,class
manual,prospect,none,none
manual,cart,class,class
manual,appliance,none,none
manual,actress,class,class
manual,workshop,class,class
manual,policeman,class,class
manual,honeydew,none,none
manual,city,class,class
manual,twins,none,none
manual,investigation,class,class
manual,coach,class,class
